timestamp,open_interest_put_call_ratio,open_interest_calls,open_interest_puts,close_price
2024-11-05,0.9,3674235,3292003,251.44
2024-11-06,0.89,3808731,3396586,288.53
2024-11-07,0.92,3901903,3578779,296.91
2024-11-08,0.92,4043716,3729221,321.22
2024-11-11,0.91,3811237,3484588,350.0
2024-11-12,0.93,4035610,3743704,328.49
2024-11-13,0.92,4233918,3878518,330.24
2024-11-14,0.91,4343390,3965517,311.18
2024-11-15,0.9,4472738,4023294,320.72
2024-11-18,0.92,3664588,3369073,338.74
2024-11-19,0.88,3899001,3438203,346.0
2024-11-20,0.9,3968105,3551474,342.03
2024-11-21,0.89,4040752,3607325,339.64
2024-11-22,0.89,4132624,3666097,352.56
2024-11-25,0.9,3762587,3374159,338.59
2024-11-26,0.9,3936887,3530741,338.23
2024-11-27,0.91,3977344,3607891,332.89
2024-11-29,0.93,4005023,3729362,345.16
2024-12-02,0.9399999999999999,3633609,3431489,357.09
2024-12-03,0.9399999999999999,3767648,3547880,351.42
2024-12-04,0.96,3789989,3628150,357.93
2024-12-05,0.93,3932963,3676167,369.49
2024-12-06,0.96,4065731,3882857,389.22
2024-12-09,0.9399999999999999,3865632,3620875,389.79
2024-12-10,0.93,4061761,3767702,400.99
2024-12-11,0.93,4190516,3905244,424.77
2024-12-12,0.96,4248753,4065620,418.1
2024-12-13,0.97,4375292,4222478,436.23
2024-12-16,1.0,4003411,4008023,463.02
2024-12-17,1.05,4105040,4311179,479.86
2024-12-18,1.06,4308087,4581012,440.13
2024-12-19,1.04,4463110,4642994,436.17
2024-12-20,1.03,4590255,4731132,421.06
2024-12-23,0.96,3934971,3783544,430.6
2024-12-24,0.97,4101437,3964614,462.28
2024-12-26,0.99,4158882,4102663,454.13
2024-12-27,0.98,4262100,4178476,431.66
2024-12-30,1.02,3795005,3854279,417.41
2024-12-31,1.01,3897095,3921262,403.84
2025-01-02,1.01,3963779,4022329,379.28
2025-01-03,0.96,4211324,4063197,410.44
2025-01-06,0.99,3891821,3839255,411.05
2025-01-07,0.97,4056361,3953881,394.36
2025-01-08,0.9399999999999999,4130542,3862434,394.94
2025-01-10,0.9399999999999999,4174309,3910827,394.74
2025-01-13,0.99,3879031,3852295,403.31
2025-01-14,1.0,3967310,3950489,396.36
2025-01-15,0.98,4122053,4031409,428.22
2025-01-16,0.98,4229884,4148087,413.82
2025-01-17,0.98,4339195,4240173,426.5
2025-01-21,0.86,3239306,2770519,424.07
2025-01-22,0.86,3369491,2911621,415.11
2025-01-23,0.87,3429378,2974342,412.38
2025-01-24,0.85,3534564,3018914,406.58
2025-01-27,0.88,3064989,2696278,397.15
2025-01-28,0.88,3129777,2767022,398.09
2025-01-29,0.89,3198684,2851054,389.1
2025-01-30,0.89,3381353,2996216,400.28
2025-01-31,0.88,3541952,3114305,404.6
2025-02-03,0.87,3259059,2849022,383.68
2025-02-04,0.87,3440887,2998056,392.21
2025-02-05,0.86,3535961,3041259,378.17
2025-02-06,0.76,4082949,3107500,374.32
2025-02-07,0.84,3781666,3171402,361.62
2025-02-10,0.87,3431487,2995901,350.73
2025-02-11,0.85,3635036,3086297,328.5
2025-02-12,0.82,3972293,3252942,336.51
2025-02-13,0.83,4073766,3366150,355.94
2025-02-14,0.82,4180709,3427192,355.84
