timestamp,volume_put_call_ratio,volume_calls,volume_puts,close_price
2024-11-05,0.59,903201,530832,251.44
2024-11-06,0.51,2267693,1155051,288.53
2024-11-07,0.5600000000000001,1908420,1075369,296.91
2024-11-08,0.57,4889012,2771576,321.22
2024-11-11,0.53,2627710,1384049,350.0
2024-11-12,0.61,1719827,1049418,328.49
2024-11-13,0.61,1567100,948749,330.24
2024-11-14,0.78,1714281,1334822,311.18
2024-11-15,0.8,2135562,1708370,320.72
2024-11-18,0.44,1787274,783928,338.74
2024-11-19,0.6,1009890,609746,346.0
2024-11-20,0.57,943888,539718,342.03
2024-11-21,0.67,957120,638954,339.64
2024-11-22,0.61,2105658,1292916,352.56
2024-11-25,0.55,1262290,688933,338.59
2024-11-26,0.65,1013358,657619,338.23
2024-11-27,0.87,1073051,929407,332.89
2024-11-29,0.62,1004842,623541,345.16
2024-12-02,0.62,1081968,669800,357.09
2024-12-03,0.71,738870,525583,351.42
2024-12-04,0.55,888862,487271,357.93
2024-12-05,0.53,1938565,1032802,369.49
2024-12-06,0.51,2125665,1088026,389.22
2024-12-09,0.52,1532087,795766,389.79
2024-12-10,0.5600000000000001,1707679,956791,400.99
2024-12-11,0.6,1756255,1059727,424.77
2024-12-12,0.6899999999999999,1529181,1052957,418.1
2024-12-13,0.68,2411004,1639012,436.23
2024-12-16,0.65,1846564,1206727,463.02
2024-12-17,0.57,2212071,1256491,479.86
2024-12-18,0.65,2194554,1431196,440.13
2024-12-19,0.75,1951270,1468304,436.17
2024-12-20,0.8,2200703,1755830,421.06
2024-12-23,0.62,1177721,725652,430.6
2024-12-24,0.59,1051192,621563,462.28
2024-12-26,0.64,1358505,873146,454.13
2024-12-27,0.71,1907973,1362174,431.66
2024-12-30,0.82,749493,611631,417.41
2024-12-31,0.68,982600,672359,403.84
2025-01-02,0.85,1687552,1426462,379.28
2025-01-03,0.6899999999999999,2211523,1533195,410.44
2025-01-06,0.59,1322295,776448,411.05
2025-01-07,0.8,1006402,809454,394.36
2025-01-08,0.75,1002215,746696,394.94
2025-01-10,0.8,1484783,1191327,394.74
2025-01-13,0.6899999999999999,868799,602647,403.31
2025-01-14,0.51,1449539,745941,396.36
2025-01-15,0.59,1459352,860662,428.22
2025-01-16,0.65,1195328,772033,413.82
2025-01-17,0.55,2600322,1420026,426.5
2025-01-21,0.6,1223735,731258,424.07
2025-01-22,0.63,894098,563080,415.11
2025-01-23,0.62,1116717,689840,412.38
2025-01-24,0.75,1304012,974668,406.58
2025-01-27,0.82,541648,445119,397.15
2025-01-28,0.75,490362,365343,398.09
2025-01-29,0.8,691309,553313,389.1
2025-01-30,0.75,1668563,1252567,400.28
2025-01-31,0.8100000000000001,1932506,1571367,404.6
2025-02-03,0.77,1039500,798859,383.68
2025-02-04,0.57,868804,495000,392.21
2025-02-05,0.65,905359,585023,378.17
2025-02-06,0.62,1504363,937211,374.32
2025-02-07,0.74,1613720,1201100,361.62
2025-02-10,0.71,1079797,764406,350.73
2025-02-11,0.77,1773397,1371336,328.5
2025-02-12,0.63,1716657,1074166,336.51
2025-02-13,0.65,1690257,1093742,355.94
2025-02-14,0.76,1625645,1239123,355.84
2025-02-18,0.79,761836,598831,354.11
2025-02-19,0.6899999999999999,1283851,888047,360.56
2025-02-20,0.86,926028,798065,354.4
2025-02-21,0.82,1711696,1405623,337.8
2025-02-24,0.93,884404,822022,330.53
2025-02-25,0.87,1903951,1664362,302.8
2025-02-26,0.88,1524547,1346810,290.8
2025-02-27,1.1,1486973,1642479,281.95
2025-02-28,0.88,2023145,1784408,292.98
2025-03-03,0.77,1307813,1006149,284.65
2025-03-04,0.97,1359565,1313732,272.04
2025-03-05,0.91,1036186,947118,279.1
2025-03-06,0.95,1442106,1364236,263.45
2025-03-07,0.99,1848156,1823621,262.67
2025-03-10,0.9399999999999999,1844994,1731763,222.15
2025-03-11,1.05,1670286,1748289,230.58
2025-03-12,0.97,1363332,1322265,248.09
2025-03-13,1.12,1349548,1504881,240.68
2025-03-14,0.96,1780483,1709100,249.98
2025-03-17,1.09,1025453,1120877,238.01
2025-03-18,1.18,989239,1168912,225.31
2025-03-19,1.07,1102820,1174954,235.86
2025-03-20,1.18,1121855,1321691,236.26
2025-03-21,0.95,1880730,1779737,248.71
2025-03-24,0.82,1798769,1467083,278.39
2025-03-25,0.71,1606746,1147107,288.14
2025-03-26,0.89,1538011,1361816,272.06
2025-03-27,0.71,2380586,1692055,273.13
2025-03-28,0.87,1974816,1716669,263.55
2025-03-31,1.05,943227,989899,259.16
2025-04-01,0.89,1118634,990961,268.46
2025-04-02,0.84,2005147,1681035,282.76
2025-04-03,0.92,1429907,1316993,267.28
2025-04-04,1.1,2151539,2360340,239.43
2025-04-07,1.0,1190509,1184982,233.29
2025-04-08,1.08,1187183,1278382,221.86
2025-04-09,0.86,1759605,1512016,272.2
2025-04-10,1.03,1534760,1586118,252.4
2025-04-11,0.84,1795664,1507401,252.31
2025-04-14,0.87,947853,821607,252.35
2025-04-15,0.89,778243,693297,254.11
2025-04-16,1.1,1092763,1202534,241.55
2025-04-17,1.09,1052529,1147661,241.37
2025-04-21,1.21,661468,799179,227.5
2025-04-22,1.06,959966,1015424,237.97
2025-04-23,1.09,1544725,1686694,250.74
2025-04-24,1.23,1008749,1241508,259.51
2025-04-25,0.79,3412895,2689442,284.95
2025-04-28,0.65,1682555,1092495,285.88
2025-04-29,0.64,1174336,757348,292.03
2025-04-30,0.68,1314307,895443,282.16
2025-05-01,0.64,1305453,829179,280.52
