strike,volume,option_type,contract_symbol,contract_display_name,contract_display_name_abbreviated,,strike price text,volume text
450,63614,CALL,TSLA251107C00450000,"TSLA Nov 7, 2025 450.00 call",TSLA 11/07/25 450.0C,,450 Strike price TSLA,"63,614 Volume"
460,62757,CALL,TSLA251107C00460000,"TSLA Nov 7, 2025 460.00 call",TSLA 11/07/25 460.0C,,460 Strike price TSLA,"62,757 Volume"
470,53682,CALL,TSLA251107C00470000,"TSLA Nov 7, 2025 470.00 call",TSLA 11/07/25 470.0C,,470 Strike price TSLA,"53,682 Volume"
480,53603,CALL,TSLA251107C00480000,"TSLA Nov 7, 2025 480.00 call",TSLA 11/07/25 480.0C,,480 Strike price TSLA,"53,603 Volume"
500,51959,CALL,TSLA251107C00500000,"TSLA Nov 7, 2025 500.00 call",TSLA 11/07/25 500.0C,,500 Strike price TSLA,"51,959 Volume"
455,50202,CALL,TSLA251107C00455000,"TSLA Nov 7, 2025 455.00 call",TSLA 11/07/25 455.0C,,455 Strike price TSLA,"50,202 Volume"
450,47604,PUT,TSLA251107P00450000,"TSLA Nov 7, 2025 450.00 put",TSLA 11/07/25 450.0P,,450 Strike price TSLA,"47,604 Volume"
480,44696,CALL,TSLA251205C00480000,"TSLA Dec 5, 2025 480.00 call",TSLA 12/05/25 480.0C,,480 Strike price TSLA,"44,696 Volume"
440,33056,PUT,TSLA251107P00440000,"TSLA Nov 7, 2025 440.00 put",TSLA 11/07/25 440.0P,,440 Strike price TSLA,"33,056 Volume"
445,32518,PUT,TSLA251107P00445000,"TSLA Nov 7, 2025 445.00 put",TSLA 11/07/25 445.0P,,445 Strike price TSLA,"32,518 Volume"
445,32330,CALL,TSLA251107C00445000,"TSLA Nov 7, 2025 445.00 call",TSLA 11/07/25 445.0C,,445 Strike price TSLA,"32,330 Volume"
465,31918,CALL,TSLA251107C00465000,"TSLA Nov 7, 2025 465.00 call",TSLA 11/07/25 465.0C,,465 Strike price TSLA,"31,918 Volume"
460,29252,PUT,TSLA251107P00460000,"TSLA Nov 7, 2025 460.00 put",TSLA 11/07/25 460.0P,,460 Strike price TSLA,"29,252 Volume"
800,26862,CALL,TSLA251107C00800000,"TSLA Nov 7, 2025 800.00 call",TSLA 11/07/25 800.0C,,800 Strike price TSLA,"26,862 Volume"
452.5,24758,CALL,TSLA251107C00452500,"TSLA Nov 7, 2025 452.50 call",TSLA 11/07/25 452.5C,,453 Strike price TSLA,"24,758 Volume"
490,24451,CALL,TSLA251107C00490000,"TSLA Nov 7, 2025 490.00 call",TSLA 11/07/25 490.0C,,490 Strike price TSLA,"24,451 Volume"
455,23378,PUT,TSLA251107P00455000,"TSLA Nov 7, 2025 455.00 put",TSLA 11/07/25 455.0P,,455 Strike price TSLA,"23,378 Volume"
430,23263,PUT,TSLA251107P00430000,"TSLA Nov 7, 2025 430.00 put",TSLA 11/07/25 430.0P,,430 Strike price TSLA,"23,263 Volume"
500,20888,CALL,TSLA251114C00500000,"TSLA Nov 14, 2025 500.00 call",TSLA 11/14/25 500.0C,,500 Strike price TSLA,"20,888 Volume"
462.5,20871,CALL,TSLA251107C00462500,"TSLA Nov 7, 2025 462.50 call",TSLA 11/07/25 462.5C,,463 Strike price TSLA,"20,871 Volume"
