expiration,dex,dex text
"Nov 07, 2025",4096367381,"4,096,367,381 dex"
"Nov 14, 2025",1304285229,"1,304,285,229 dex"
"Nov 21, 2025",7873278622,"7,873,278,622 dex"
"Nov 28, 2025",394017187.2,"394,017,187 dex"
"Dec 05, 2025",175382695.5,"175,382,696 dex"
"Dec 12, 2025",64913425.98,"64,913,426 dex"
"Dec 19, 2025",11012397483,"11,012,397,483 dex"
"Jan 16, 2026",13106920948,"13,106,920,948 dex"
"Feb 20, 2026",1083292793,"1,083,292,793 dex"
"Mar 20, 2026",3011243396,"3,011,243,396 dex"
"Apr 17, 2026",771628924.6,"771,628,925 dex"
"May 15, 2026",767650986.5,"767,650,987 dex"
"Jun 18, 2026",9050862827,"9,050,862,827 dex"
"Jul 17, 2026",379484144.1,"379,484,144 dex"
"Aug 21, 2026",678791688.8,"678,791,689 dex"
"Sep 18, 2026",1819644236,"1,819,644,236 dex"
"Dec 18, 2026",7204808816,"7,204,808,816 dex"
"Jan 15, 2027",9736091008,"9,736,091,008 dex"
"Jun 17, 2027",4095559985,"4,095,559,985 dex"
"Dec 17, 2027",5451057245,"5,451,057,245 dex"
"Jan 21, 2028",1311609656,"1,311,609,656 dex"
