expiration,gex
"Nov 07, 2025",398013445.2 GEX
"Nov 14, 2025",81742601.21 GEX
"Nov 21, 2025",151159189.8 GEX
"Nov 28, 2025",9392468.07 GEX
"Dec 05, 2025",5752517.14 GEX
"Dec 12, 2025",1419779.08 GEX
"Dec 19, 2025",129049804 GEX
"Jan 16, 2026",190137594.8 GEX
"Feb 20, 2026",8547192.7 GEX
"Mar 20, 2026",27361830.27 GEX
"Apr 17, 2026",5474699.62 GEX
"May 15, 2026",3021638.43 GEX
"Jun 18, 2026",78831801.97 GEX
"Jul 17, 2026",2413336.66 GEX
"Aug 21, 2026",869774.88 GEX
"Sep 18, 2026",18585791.39 GEX
"Dec 18, 2026",26012667.49 GEX
"Jan 15, 2027",86185243.55 GEX
"Jun 17, 2027",20912184.35 GEX
"Dec 17, 2027",5263502.83 GEX
"Jan 21, 2028",6380135.71 GEX
