Expiration,Days to Exp,Type,Volume Calls,Volume Puts,Put-Call Vol Ratio,OI Calls,OI Puts,Put-Call OI Ratio,Implied Volatility,Expected Move,Max Pain,Max Pain vs Current,ATM IV,IV % Chg,Put 25-Delta,Call 25-Delta,ATM Put,ATM Call,ATM Strike,ATM Volume,% of Total Vol,Open Premium %,Premium $,Business Days
Nov 07, 2025,"0 days until expiry (same-day)","Weekly","1,265,668 calls (very high volume)","924,889 puts","0.73 (call-heavy volume)","555,002 calls open interest","572,410 puts open interest","1.03 (balanced OI)","448.73% IV (extremely high)","±2.1% expected move","$445 max pain","+7.09 above current","22.3% ATM IV","-73.9% IV crush","17.2% put delta","6.0% call delta","-68.2% ATM put","-77.6% ATM call","$430 ATM strike","2,187,674 contracts","55.9% of total volume","0.20% premium-to-open","$0.79 premium","-1 business days"
Nov 14, 2025,"7 days until expiry","Weekly","602,452 calls","455,193 puts","0.76 (call-biased)","191,855 calls OI","183,834 puts OI","0.96 (near parity)","54.9% IV","±24.9% move","$445 max pain","+7.09 over current","53.4% ATM IV","-19.6% IV change","1.9% put delta","2.6% call delta","-21.3% ATM put","-17.1% ATM call","$452.5 ATM strike","1,054,695 contracts","26.9% volume share","6.00% premium-open","$25.80 premium","4 business days"
Nov 21, 2025,"14 days until expiry","Monthly","133,545 calls","107,636 puts","0.81 ratio","455,565 calls OI","421,730 puts OI","0.93 OI ratio","55.82% IV","±36.32% move","$410 max pain","-$27.91 under current","54.6% ATM IV","-13.5% IV change","1.5% put delta","3.5% call delta","-14.8% ATM put","-11.7% ATM call","$465 ATM strike","240,466 contracts","6.1% of volume","8.70% premium-open","$37.24 premium","9 business days"
Nov 28, 2025,"21 days","Weekly","38,801 calls","30,918 puts","0.80 ratio","54,967 calls OI","57,367 puts OI","1.04 OI ratio","53.9% IV","±41.87% move","$440 max pain","+2.09 above current","54.7% ATM IV","-11.3% IV change","1.3% put delta","3.5% call delta","-13.5% ATM put","-9.2% ATM call","$475 ATM strike","69,637 contracts","1.8% share","10.30% premium-open","$44.13 premium","13 days"
Dec 05, 2025,"28 days","Weekly","25,903 calls","9,071 puts","0.35 (strong call-heavy)","63,152 calls OI","18,239 puts OI","0.29 (call-dominant OI)","54.88% IV","±49.59% move","$445 max pain","+7.09 current diff","55.2% ATM IV","-9.5% IV change","0.6% put delta","4.0% call delta","-11.6% ATM put","-7.2% ATM call","$485 ATM strike","34,855 contracts","0.9% vol share","12.10% premium-open","$51.83 premium","18 days"
Dec 12, 2025,"35 days","Weekly","6,523 calls","7,460 puts","1.14 (put-biased)","7,570 calls OI","5,485 puts OI","0.72 OI","55.43% IV","±56.28% move","$425 max pain","-$12.91 below current","55.4% ATM IV","-8.3% IV change","0.3% put delta","4.3% call delta","-9.8% ATM put","-5.8% ATM call","$490 ATM strike","13,969 volume","0.4% share","13.60% premium-open","$58.47 premium","23 days"
Dec 19, 2025,"42 days","Monthly","54,310 calls","24,292 puts","0.45 call-heavy","561,488 calls OI","540,575 puts OI","0.96 OI parity","55.5% IV","±61.93% move","$340 max pain","-$97.91 below","55.4% ATM IV","-7.4% IV change","0.4% put","4.2% call","-8.9% ATM put","-5.4% ATM call","$500 strike","78,349 vol","2.0% share","15.00% open prem","$64.23 premium","28 days"
Dec 26, 2025,"49 days","Weekly","4,391 calls","5,143 puts","1.17 put-biased","768 calls OI","316 puts OI","0.41 OI","54.78% IV","±66.08% move","$440 max pain","+2.09","55.5% ATM IV","-6.6% change","0.0% put","3.9% call","0.0% ATM put","-5.3% ATM call","$505 strike","9,526 vol","0.2% share","16.00% prem","$68.64","32 days"
Jan 16, 2026,"70 days","Monthly","57,863 calls","31,596 puts","0.55 ratio","648,025 calls OI","564,574 puts OI","0.87 OI","56.58% IV","±82.06%","$330 max pain","-$107.91","57.3% ATM IV","-4.8% IV","-0.5% put","4.1% call","-6.8% ATM put","-4.4% ATM call","$530 strike","89,323 vol","2.3% share","19.60% prem","$84.36","46 days"
Feb 20, 2026,"105 days","Monthly","13,387 calls","12,244 puts","0.91 ratio","75,222 calls OI","104,815 puts OI","1.39 put-heavy OI","58.28% IV","±101.51%","$410 max pain","-$27.91","59.2% ATM IV","-3.1% IV","-0.9% put","4.3% call","-4.4% ATM put","-2.7% ATM call","$560 strike","25,621 vol","0.7% share","24.70% open-prem","$106.12","69 days"
