Earnings Date,Release Time,Fiscal Quarter,Conference Call,Price Effect,EPS Surprise,Revenue Surprise,Closing Price,Drift Since Previous Earnings,Range Since Previous Earnings,Drift to High,Drift to Low
22-Oct-25,BMO,Q3 2025,"22-Oct, 5:30 PM",-0.80% (mild 1-day loss),$0.00 (no EPS surprise),+$1.6 B (revenue beat by 6.0%),$438.97,+45.00% (strong upward drift),$297.82 – $470.75 (±36.5% range),+54.20% (peak gain),-2.50% (minimal drawdown)
23-Jul-25,AMC,Q2 2025,"23-Jul, 5:30 PM",-8.20% (sharp sell-off),+$0.05 (EPS beat by 14.3%),+$241.5 M (revenue beat by 1.1%),$305.30,+32.60% (solid pre-earnings run),$249.20 – $367.71 (±23.8% range),+46.70% (peak gain),-0.60% (near flat low)
22-Apr-25,AMC,Q1 2025,"22-Apr, 5:30 PM",+5.40% (positive reaction),-$0.14 (EPS miss by 34.1%),-$2.0 B (revenue miss by 9.4%),$250.74,-40.60% (major drawdown),$214.25 – $419.99 (±47.9% range),+4.90% (modest peak),-46.50% (deep low)
29-Jan-25,AMC,Q4 2024,"29-Jan, 5:30 PM",+2.90% (modest gain),-$0.04 (EPS miss by 5.2%),-$1.4 B (revenue miss by 5.2%),$400.28,+49.40% (strong recovery drift),$238.88 – $488.54 (±50.9% range),+87.60% (explosive high),-8.30% (moderate low)
23-Oct-24,AMC,Q3 2024,"23-Oct, 5:30 PM",+21.90% (massive rally),+$0.14 (EPS beat by 24.1%),-$188.0 M (revenue miss by 0.7%),$260.48,-1.10% (near flat drift),$182.00 – $264.86 (±22.3% range),+22.60% (solid peak),-15.70% (notable low)
23-Jul-24,AMC,Q2 2024,"23-Jul, 5:30 PM",-12.30% (sharp drop),-$0.10 (EPS miss by 16.1%),+$770.0 M (revenue beat by 3.1%),$215.99,+52.00% (strong upward drift),$158.36 – $271.00 (±35.5% range),+67.20% (strong peak),-2.30% (shallow low)
23-Apr-24,AMC,Q1 2024,"23-Apr, 5:30 PM",+12.10% (strong rebound),-$0.06 (EPS miss by 11.8%),-$1.0 B (revenue miss by 4.5%),$162.13,-20.80% (decline from prior),$138.80 – $205.60 (±23.8% range),+12.60% (moderate peak),-24.00% (deep low)
24-Jan-24,AMC,Q4 2023,"24-Jan, 5:30 PM",-12.10% (sell-off on miss),-$0.03 (EPS miss by 4.1%),-$423.0 M (revenue miss by 1.7%),$182.63,-5.60% (mild decline),$194.07 – $265.13 (±18.9% range),+20.50% (decent peak),-11.80% (moderate low)
18-Oct-23,AMC,Q3 2023,"18-Oct, 5:30 PM",-9.30% (sell-off),-$0.07 (EPS miss by 9.6%),-$1.0 B (revenue miss by 4.1%),$220.11,-7.70% (downward drift),$212.36 – $278.98 (±15.5% range),+6.10% (weak peak),-19.20% (deep low)
19-Jul-23,AMC,Q2 2023,"19-Jul, 5:30 PM",-9.70% (sell-off despite beat),+$0.09 (EPS beat by 11.0%),+$447.0 M (revenue beat by 1.8%),$262.90,+78.70% (explosive pre-earnings run),$152.37 – $299.29 (±47.9% range),+83.60% (extreme high),-6.50% (shallow low)
19-Apr-23,AMC,Q1 2023,"19-Apr, 5:30 PM",-9.80% (sell-off),$0.00 (no EPS surprise),+$119.0 M (revenue beat by 0.5%),$162.99,+12.70% (modest gain),$161.17 – $217.65 (±17.4% range),+35.80% (strong peak),+0.60% (near flat low)
25-Jan-23,AMC,Q4 2022,"25-Jan, 5:30 PM",+11.00% (strong beat reaction),+$0.06 (EPS beat by 5.3%),+$158.0 M (revenue beat by 0.7%),$160.27,-30.30% (sharp pre-earnings drop),$101.81 – $237.40 (±57.8% range),+14.50% (moderate peak),-50.90% (extreme low)
