State,City,Population,Tesla_Insurance_Available,Permit_Applied,Permit_Received,Vehicle_Operated_Ads,Public_Test,GeoFence,Regulatory_Approval,scrape_timestamp
ARIZONA,Phoenix,1650070 major metro,26/06/2022,19/09/2022,,,17/09/2022,,12/10/2025,2025-11-09 05:59:05.172686+00:00
ARIZONA,Mesa/Tempe,989000 large city,26/06/2022,19/09/2022,18/07/2022,,10/09/2022,,12/10/2025,2025-11-09 05:59:05.172686+00:00
CALIFORNIA,Los Angeles,3878704 mega city,18/03/2024,2/07/2024,,30/07/2024,4/09/2024,GeoFence,9/10/2025,2025-11-09 05:59:05.172686+00:00
CALIFORNIA,San Diego,1388320 large city,18/03/2024,2/07/2024,,30/07/2024,4/09/2024,GeoFence,9/10/2025,2025-11-09 05:59:05.172686+00:00
CALIFORNIA,San Francisco,808988 large city,18/03/2019,18/07/2019,,30/07/2024,4/09/2024,GeoFence,9/10/2025,2025-11-09 05:59:05.172686+00:00
CALIFORNIA,Oakland,433544 mid-size city,18/03/2019,18/07/2019,,30/07/2024,4/09/2024,GeoFence,9/10/2025,2025-11-09 05:59:05.172686+00:00
CALIFORNIA,San Jose,969655 large city,18/03/2019,18/07/2019,,30/07/2024,4/09/2024,GeoFence,9/10/2025,2025-11-09 05:59:05.172686+00:00
COLORADO,Denver,715891 mid-size city,13/10/2022,,,,,,,2025-11-09 05:59:05.172686+00:00
FLORIDA,Jacksonville,1009833 large city,,,,,5/08/2024,,,2025-11-09 05:59:05.172686+00:00
FLORIDA,Miami,464655 mid-size city,,,,,5/08/2024,,,2025-11-09 05:59:05.172686+00:00
FLORIDA,Orlando,325044 mid-size city,,,,,5/08/2024,,,2025-11-09 05:59:05.172686+00:00
FLORIDA,Tampa,413657 mid-size city,,,,,5/08/2024,,,2025-11-09 05:59:05.172686+00:00
ILLINOIS,Chicago,2661089 major metro,,,,,31/07/2024,,,2025-11-09 05:59:05.172686+00:00
NEVADA,Las Vegas,670352 mid-size city,3/09/2022,11/09/2022,25/08/2022,,,,12/10/2025,2025-11-09 05:59:05.172686+00:00
NEW YORK,Brooklyn,2648943 major metro,,,,,5/08/2024,,,2025-11-09 05:59:05.172686+00:00
NEW YORK,Queens,2405027 major metro,,,,,5/08/2024,,,2025-11-09 05:59:05.172686+00:00
TEXAS,Austin,989252 large city,27/05/2021,6/08/2021,22/06/2021,,14/07/2021,,2/10/2025,2025-11-09 05:59:05.172686+00:00
TEXAS,Dallas,1302868 large city,27/05/2021,6/08/2021,23/09/2021,,,,2/10/2025,2025-11-09 05:59:05.172686+00:00
TEXAS,Houston,2324082 major metro,27/05/2021,6/08/2021,30/07/2021,,,,2/10/2025,2025-11-09 05:59:05.172686+00:00
TEXAS,San Antonio,1526697 major metro,27/05/2021,6/08/2021,30/07/2021,,,,2/10/2025,2025-11-09 05:59:05.172686+00:00
