,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega,type,expiry,text_content
0,150.0,305.17,295.5,296.05,296.6,3,22,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $150.0 | Last traded price $305.17 | Bid $295.5, Ask $296.6, Mid $296.05 | Volume 3 contracts | Open interest 22 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
1,155.0,300.42,290.5,291.05,291.6,1,2,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $155.0 | Last traded price $300.42 | Bid $290.5, Ask $291.6, Mid $291.05 | Volume 1 contracts | Open interest 2 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
2,160.0,,285.5,286.05,286.6,0,11,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $160.0 | No last trade | Bid $285.5, Ask $286.6, Mid $286.05 | Volume 0 contracts | Open interest 11 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
3,165.0,,280.5,281.05,281.6,0,2,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $165.0 | No last trade | Bid $280.5, Ask $281.6, Mid $281.05 | Volume 0 contracts | Open interest 2 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
4,170.0,289.02,275.5,276.08,276.65,1,13,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $170.0 | Last traded price $289.02 | Bid $275.5, Ask $276.65, Mid $276.08 | Volume 1 contracts | Open interest 13 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
5,175.0,266.5,270.5,271.08,271.65,1,1,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $175.0 | Last traded price $266.5 | Bid $270.5, Ask $271.65, Mid $271.08 | Volume 1 contracts | Open interest 1 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
6,180.0,269.72,265.5,266.08,266.65,15,34,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $180.0 | Last traded price $269.72 | Bid $265.5, Ask $266.65, Mid $266.08 | Volume 15 contracts | Open interest 34 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
7,185.0,270.6,260.5,261.08,261.65,1,10,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $185.0 | Last traded price $270.6 | Bid $260.5, Ask $261.65, Mid $261.08 | Volume 1 contracts | Open interest 10 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
8,190.0,,255.5,256.08,256.65,0,0,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $190.0 | No last trade | Bid $255.5, Ask $256.65, Mid $256.08 | Volume 0 contracts | Open interest 0 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
9,195.0,,250.5,251.08,251.65,0,4,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $195.0 | No last trade | Bid $250.5, Ask $251.65, Mid $251.08 | Volume 0 contracts | Open interest 4 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
10,200.0,249.31,245.5,246.08,246.65,22,62,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $200.0 | Last traded price $249.31 | Bid $245.5, Ask $246.65, Mid $246.08 | Volume 22 contracts | Open interest 62 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
