Metric,Value,scrape_timestamp
Implied Volatility (30d),55.12% volatility rate,2025-11-09 04:55:22 UTC
IV Rank,19.19% rank level,2025-11-09 04:55:22 UTC
IV Percentile,27.60% percentile level,2025-11-09 04:55:22 UTC
Historical Volatility (HV) (30d),52.29% historical volatility,2025-11-09 04:55:22 UTC
IV Low,43.07% record low on 08/18/25,2025-11-09 04:55:22 UTC
IV High,105.85% record high on 04/08/25,2025-11-09 04:55:22 UTC
Today's Open Interest,"8,521,533 contracts of total open interest",2025-11-09 04:55:22 UTC
Put-Call Ratio,0.83 ratio,2025-11-09 04:55:22 UTC
Put Open Interest,"3,871,655 put contracts open",2025-11-09 04:55:22 UTC
Call Open Interest,"4,649,878 call contracts open",2025-11-09 04:55:22 UTC
Open Interest Avg (30-day),"7,960,627 contracts average (30-day)",2025-11-09 04:55:22 UTC
Today vs Open Interest Avg (30-day),107.05% relative comparison to 30-day average,2025-11-09 04:55:22 UTC
Today's Volume,"3,924,036 total traded volume",2025-11-09 04:55:22 UTC
Put-Call Ratio,0.72 ratio,2025-11-09 04:55:22 UTC
Put Volume,"1,642,143 put contracts traded",2025-11-09 04:55:22 UTC
Call Volume,"2,281,893 call contracts traded",2025-11-09 04:55:22 UTC
Volume Avg (30-day),"2,272,612 contracts average volume (30-day)",2025-11-09 04:55:22 UTC
Today vs Volume Avg (30-day),172.67% relative comparison to 30-day average,2025-11-09 04:55:22 UTC
